SOAL;PILIHAN A;PILIHAN B;PILIHAN C;PILIHAN D;PILIHAN E;KUNCI JAWABAN;PEMBAHASAN 
Seorang ibu rumah tangga membeli telur 10 kg dengan harga Rp 120.000, kemudian telur itu dijual dengan harga Rp12.500 per kg. Berapakah keuntungan ibu rumah tangga tersebut?;Rp5.000;Rp5.150;Rp5.250;Rp5.300;;a;Untung = Harga Jual – Harga Beli, Harga jual = 10 x Rp 12.500 = Rp 125.000, Untung = Rp 125.000 – Rp 120.000 = Rp 5.000. Jadi, ibu rumah tangga tersebut mendapat keuntungan sebesar Rp 5.000
Luthfi membeli sepeda motor dengan harga Rp 15.000.000 dengan pajaknya 10 %, setelah beberapa tahun Luthfi menjual motor tersebut dengan harga Rp 11.500.000. berapakah kerugian yang diderita Luthfi?;Rp5.500.000;Rp5.000.000;Rp4.000.000;Rp4.500.000;;c;Harga Beli = Rp 15.000.000, Pajak 10% = 10% x Rp 15.000.000 = Rp 500.000, Harga Jual = Rp 11.500.000, Modal (Harga Beli + Pajak) = Rp 15.000.000 + Rp 500.000 = Rp 15.500.000, Rugi = Rp 15.500.000 – Rp 11.500.000 = Rp 4.000.000. Jadi, kerugian yang diderita Luthfi adalah Rp 4.000.000
Dalam sebuah toko terdapat diskonan, baju dengan harga Rp 40.000 didiskon 10 %, celana seharga Rp 70.000 didiskon 15 %, topi seharga 20.000 didiskon 5 %, tas seharga 35.000 didiskon 5 %, dan kaos seharga Rp 55.000 didiskon 25 %. Jika Yono ingin berbelanja dengan menghabiskan uang antara Rp 130.000 s/d Rp 150.000 maka barang apa saja yang tidak bisa Yono beli?;Celana, tas, kaos;Baju, celana, tas;Baju, celana, kaos;Celana, topi, kaos;;d;"Harga barang setelah diskon: Baju = Rp 40.000 – (10% x Rp 40.000) = Rp 40.000 – Rp 4.000 = Rp 36.000 ; Celana = Rp 70.000 – (15% x Rp 70.000) = Rp 64.500 ; Topi = Rp 20.000 – (5 % x Rp 20.000) = Rp 19.000 ; Tas = Rp 35.000 – ( 5 % x Rp 35.000) = Rp 33.250 ; Kaos = Rp 55.000 – (15 % x Rp 55.000) = Rp 41.250. Jadi barang yang tidak bias dibeli Yono adalah celana, topi, dan kaos karena kurang dari jumlah minimal uang yang ingin dihabiskan Yono"
Seorang petani membeli beberapa ekor sapi seharga Rp 6.000.000 dan menjual semua seharga Rp 7.500.000 dengan memperoleh keuntungan sebesar Rp 300.000 untuk setiap ekor sapi. Berapa ekor sapikah yang dibeli dan yang dijualnya itu?;20;15;10;5;;d;Keuntungan = 7.500.000 – 6.000.000 = 1.500.000, banyaknya sapi = 1.500.000 : 300.000 = 5. Jadi, jumlah sapi yang dibeli dan dijual petani adalah 5
Sejenis produk dijual dengan 2 kali potongan (diskon) berturut-turut, yaitu 20% dan setelah itu 15%. Berapakah jumlah seluruh diskon?;30%;32%;34%;35%;;c;"Diskon I = 20% ; Diskon II = 15% x (100-20)% = 12% ; total diskon = 20% + 12% = 32%. Jadi, total diskon yang didapatkan adalah 32%"
Seorang pedagang telur membeli dua kuintal telur ayam seharga Rp 1.360.000. Dengan banyaknya telur import yang beredar di pasaran, maka harga jual telur adalah Rp 5.600 per kg. Berapa rupiahkah kerugian pedagang tersebut apabila hanya terjual 3/4 nya saja dari seluruh telur yang dibelinya?;Rp180.000;Rp480.000;Rp840.000;Rp1.020.000;;a;"Harga beli per kg = Rp 1.360.000/200 = Rp 6.800 ; Harga jual per kg= Rp 5.600 ; Rugi = Rp 6.800 – Rp 5.600 ; Total = (Rp 6.800 – Rp 5.600) x 150 = Rp 1.200 x 150 = Rp 180.000. Jadi kerugiannya sebesar Rp 180.000"
Hanya 200 tempat duduk dari stadion yang berkapasitas 20.000 penonton yang tidak terjual. Dari tiket – tiket yang terjual, separuhnya dijual dengan separuh harga dan sisanya dijual sebesar harganya yaitu Rp. 20.000. Berapakah total pendapatan dari penjualan tiket tersebut?;Rp316.800.000;Rp356.400.000;Rp297.000.000;Rp435.600.000;;c;"Jumlah tiket yg terjual = 20.000 – 200 = 19800 ; Pendapatan = (9900 x Rp 10.000) + (9900 x Rp 20.000) = Rp 297.000.000. Jadi pendapatannya adalah Rp 297.000.000"
Harga sebuah jaket dikurangi 50 persen, kemudian dikurangi lagi Rp. 10.000. Jika x adalah harga semula dan n adalah harga baru, manakah yang dapat digunakan untuk memperoleh n?;n = 2x – 10000;n = (10000 – x)/2;n = x/2 – 10000;n = x/2 – 5000;;c;n = x – 50% x – 10000 = (x/2) – 10000. Jadi harga baru (n) adalah (x/2) – 10000
Seorang pedagang mencampur a kg kedelai seharga b rupiah per kg dengan c kg kacang seharga d rupiah per kg. Berapakah harga jual kacang campuran jika ia berharap memperoleh laba 1.000 rupiah per kg?;(ab + cd)/a + c) + 1.000;(b + d)/(a + c) + 1.000;(b + d + 1.000)/(a + c);Tidak dapat ditentukan.;;a;(berat kedelai x harga kedelai + berat kacang x harga kacang) : (berat kedelai + berat kacang) + laba yang ingin di dapatkan = (ab + cd) : (a + c) + Rp 1.000
Pak Raden membeli rumah senilai Rp 300.000.000,00. Dalam penilaian pajak, rumah Pak Raden dinilai 2/3 dari nilai pembelian. Besar pajak yang harus ditanggung sebesar Rp 12,50 untuk setiap Rp 1.000,00 nilai rumah. Berapakah pajak yang harus dibayar?;Rp12.500.000,00;Rp25.000.000,00;Rp2.500.000,00;Rp3.750.000,00;;c;"Nilai taksir rumah = 2/3 x Rp300juta = Rp200juta ; Pajak = 12,5 x ( Rp 200.000.000/1.000) = Rp 2.500.000. Jadi , pajak yang harus dibayar adalah Rp 2.500.000"
