SOAL;PILIHAN A;PILIHAN B;PILIHAN C;PILIHAN D;PILIHAN E;KUNCI JAWABAN;PEMBAHASAN
Ani, Nia, dan Ina pergi bersama – sama ke toko buah. Ani membeli 2 kg apel, 2 kg anggur, dan 1 kg jeruk dengan harga Rp 67.000,00. Nia membeli 3 kg apel, 1 kg anggur, dan 1 kg jeruk dengan harga Rp 61.000,00. Ina membeli 1 kg apel, 3 kg anggur, dan 2 kg jeruk dengan harga Rp 80.000,00. Harga 1 kg apel, 1 kg anggur, dan 4 kg jeruk seluruhnya adalah ….;Rp37.000,00;Rp44.000,00;Rp51.000,00;Rp55.000,00;;c;
Harga 2 kg mangga, 2 kg jeruk dan 1 kg anggur adalah Rp. 70.000,00. Harga 1 kg mangga, 2 kg jeruk dan 2 kg anggur adalah Rp. 90.000,00. Harga 2 kg mangga, 2 kg jeruk dan 3 kg anggur adalah Rp. 130.000,00, maka harga 1 kg jeruk adalah ….;Rp5.000,00;Rp7.500,00;Rp10.000,00;Rp12.000,00;;c;
Tujuh tahun yang lalu umur ayah sama dengan 6 kali umur Budi. Empat tahun yang akan datang 2 kali umur ayah sama dengan 5 kali umur Budi ditambah 9 tahun. Umur ayah sekarang adalah … tahun.;39;43;49;54;;b;
Uang Amir Rp. 20.000 lebih banyak daripada uang Budi ditambah dua kali uang Hasan. Uang Amir, Budi, dan Hasan adalah Rp. 100.000. Selisih uang Budi dan Hasan adalah Rp. 5000. Uang Amir adalah....;Rp. 22.000;Rp. 33.000;Rp. 51.000;Rp. 67.000 ;;d;
Jika x = 3 dan (x-y)2 = 4, maka nilai y adalah...;-5;-1;5.;4.;;c;
Pada tahun 2002 usia seorang anak sama dengan seperempat usia ibunya (dalam tahun). Jika pada tahun 2006 usia anak terseut sepertiga usia ibunya, maka anak tersebut sebenarnya lahir pada tahun....;1988;1990;1992;1994;;d;
Jika 3x + 5y = 27 dan 2x + 5y = 23, maka x dan y masing-masing adalah...;3 dan 4;4 dan 3;4 dan 5;5 dan 4;;b;
Andi membeli 5 baju dan 4 celana di sebuah toko seharga Rp. 425.000. Beno juga membeli 4 baju dan 3 celana di toko yang sama seharga Rp. 330.000. Harga masing-masing baju dan celana adalah Rp......dan Rp.....;50.000 dan 45.000;45.000 dan 50.000;40.000 dan 60.000;60.000 dan 40.000;;b;
Dua kali bilangan pertama ditambah empat kali bilangan kedua akan menghasilkan 40. Bila bilangan pertama dua kali lebih banyak dari bilangan kedua, berapakah besarnya bilangan pertama?;14;12;10;8;;c;
Jika 323x – 19y = 133 maka nilai dari -187x + 11y  adalah...;-88;88;-77;77;;c;
Seorang pengawas SPMB PKN STAN mendapat honor sebesar Rp 650,00 per peserta per jam. Pengawas tersebut menerima honor total sebesar Rp 62.400,00. Ujian berlangsung selama 4 jam. Berapa jumlah peserta ujian yang diawas?;20;22;24;26;;c;
Berat badan Eko adalah 140 % dari berat badan Tono. Berat badan Adi adalah 90% dari berat badan Yusuf. Berat badan Yusuf dua kali berat badan Tono. Persentase berat Eko dibanding berat badan Adi adalah...;64,29%;77,78%;90%;128,57%;;b;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
