SOAL;PILIHAN A;PILIHAN B;PILIHAN C;PILIHAN D;PILIHAN E;KUNCI JAWABAN;;;;;;
Embargo =;Guna;Larangan;Membeli;Bersih;;b;;;;;;
Inheren =;Hisap;Bergerak;Melekat;Bersiul;;c;;;;;;
Kompendium =;Ringkasan;Salinan;Dekorasi;Rawat;;a;;;;;;
Berongsang =;Marah-marah;Berkelahi;Sebuah permainan;Kekuatan;;a;;;;;;
Pedagogi =;Pedagang kaki lima;Usaha;Penelitian;Pengajaran;;d;;;;;;
Lancung ><;Tumpul;Tajam;Asli;Palsu;;c;;;;;;
Konrol ><;Lepas;Acuh;Cinta;Sakit;;b;;;;;;
Salaf ><;Mutakhir;Penyatuan;Pra;Penting;;a;;;;;;
Siau ><;Mendidih;Gelap;Berat;Relatif;;a;;;;;;
Wreda ><;Angka;Jauh;Muda;Batin;;c;;;;;;
BENCI : MARAH;Suka : Sayang;Main : Senang;Tidur : Lelap;Sakit : Hati;;a;;;;;;Kesetaraan antara benci dengan kata marah, hal ini serupa dengan keetaraan antara suka dan saying. Kedua-duanya menunjukkan perasaan seseorang
MEJA : KAYU;Papan : Tulis;Lantai : Tanah;Lampu : Minyak;Perahu : Karet;;d;;;;;;Meja dari kayu, sama seperti perahu dari karet
TABLET : OBAT;Pasir : Batu;Kayu : Lemari;Koin : Logam;Emas : Cincin;;c;;;;;;Tablet adalah salah jenis dari obat ( kata khusus dari kata umum ), sama seperti koin merupakan bagian dari logam
HUJAN : AIR;Banjir : Bandang;Badai : Angin;Gempa : Bumi;Bulan : Satelit;;d;;;;;;Hujan berhubungan dengan keluarnya air, sedangkan badai berhubungan dengan keluarnya angin
TIRAI : JENDELA;Kunci : Pintu;Tikar : Lantai;Gorden : Ruang tamu;Sprei : Kasur;;b;;;;;;Tirai menutupi jendela, sedangkan seprei menutupi kasur
7, 18, 29, 40, 51, …;62;63;61;64;;a;;;;;;Pola bilangan tersebut adalah masing-masing angka ditambahkan dengan angka 11 agar mendapatkan angka selanjutnya
8, 1, 4, 3, 2, ...;3, 4;2, 3;5, 1;2, 2;;c;;;;;;Untuk angka urutan ganjil (8, 4, 2) masing-masing angka dikalikan dengan 1/2, untuk angka urutan genap (1, 3) masing-masing angka ditambahkan dengan 2
8, 8, 11, 16, 14, 24, ...;24, 17;32, 22;24, 27;17, 32;;d;;;;;;Untuk angka urutan ganjil (8, 11, 14) masing-masing angka ditambahkan dengan 3, untuk angka urutan genap (8, 16, 24) masing-masing angka ditambahkan dengan 8
C, F, I, L, O, ...;Q, T;R, U;P, S;R, T;;b;;;;;;Setiap huruf ditambahkan dengan 3 sehingga akan menghasilkan huruf selanjutnya
E, E, A, E, E, B, E, ...;E, C;C, E;E, E;D, E;;a;;;;;;Pola huruf adalah urutan huruf yang merupakan kelipatan dari 3 (A, B) ditambahkan dengan 1 dan huruf selain kelipatan 3 (E, E, E, E, E) tetap/tidak berubah
Jaya lebih muda daripada Doni. Jaya lebih muda daripada Dina dan Dani.;Doni lebih muda daripada Dina.;Doni lebih muda daripada Dani.;Dina dan Dani berusia sebaya.;Jaya paling muda diantara mereka.;;d;;;;;;
Semua anak bergembira jika bermain di taman wisata. Hari ini semua anak bermain di taman wisata.;Hari ini ada anak yang tidak bergembira.;Hari ini tidak ada anak yang tidak bergembira.;Hari ini tidak semua anak bergembira.;Hari ini semua anak tidak bergembira.;;b;;;;;;
Semua mahasiswa baru memiliki pensil. Sebagian siswa baru memakai pakaian hitam putih.;Semua siswa baru memakai pakaian hitam putih.;Ada siswa baru memakai pakaian hitam putih yang memiliki pensil.;Ada siswa baru yang memakai baju putih yang tidak memiliki pensil.;Semua yang memakai pakaian hitam putih selalu memilki pensil.;;b;;;;;;
Wilma selalu mandi setiap hari. Kecuali hanya jika ia sakit. Hari ini Wilma sakit.;Wilma pergi ke dokter.;Wilma tidak masuk sekolah.;Wilma tidak mandi.;Wilma minum obat.;;c;;;;;;
Jika tubuh sehat maka jiwa akan sehat pula . Jika jiwa sehat maka proses hidup akan dijalani dengan sehat. Dede memiliki tubuh yang tidak sehat.;Proses hidup Dede dijalani dengan tidak sehat.;Proses hidup Dede dijalani dengan sehat.;Dede memiliki jiwa yang tidak sehat.;Dede memiliki jiwa yang sehat.;;a;;;;;;
Jika pada periode Kamis s d. Sabtu pukul 19.00- 22.00 berlaku diskon 15%, urutan diskon yang diterapkan pada periode Minggu mulai pukul 10.00 s d. 22.00 adalah;20%-10%-15%-25%;15%-20%-10%-25%;10%-25%-15%-20%;10%-20%-15%-25%;;d;;;;;;
Bila pada pukul 10.00-13.00 periode Senin s.d. Rabu diberlakukan diskon 15%, pernyalaan berikut yang benar adalah;Periode Kamis s d. Sabtu pukul 16.00-19.00 diberlakukan diskon 15%;Periode Kamis s.d. Sabtu pukul 10.00-13.00 diberlakukan diskon 15%;Periode Senin s.d. Rabu pukul 19.00-22 00 diberlakukan diskon 15%;Periode Minggu pukul 16.00-19.00 diberlakukan diskon 15%;;d;;;;;;
Jika periode Senin s.d Rabu seorang pembeli baru mengetahui bahwa ia telah mendapat diskon 20% pada pukul 10.00 - 13.00, ia harus kembali membeli makanan itu untuk mendapatkan diskon 20% pada periode ...;Kamis s.d. Sabtu pukul 19.00-22.00;Kamis s.d. Sabtu pukul 16.00-19.00;Kamis s.d. Sabtu pukul 10.00-13.00;Minggu pukul 13.00-16.00;;a;;;;;;
Bila Asih menyukai tenis maka pernyataan yang pasti benar adalah ...;Cecep menyukai tenis;Entin menyukai badminton;Bima menyukai futsal;Asih menyukai futsal;;c;;;;;;
Bila Sima menyukai tenis maka peryataan berikut yang salah adalah ....;Cecep menyukai voli;Entin menyukai voli;Dedy menyukai basket;Asih menyukai voli;;d;;;;;;
Jika perbandingan buah apel yang diterima Gina (x) : Gani (y) : Giza (z) = 3 : 4 : 5 dengan x, y, z bilangan positif, maka nilai x, y, dan z masing-masing adalah;x = 15/z, y = 12/x, z = 20/y;x = 12/z, y = 15/x, z = 20/y;x = 12/z, y = 20/x, z = 15/y;x = 20/z, y = 12/x, z = 15/y;;a;;;;;;"x : y : z = 3:4:5 ; x, y, z ? 0 ; maka: x= 15/z, y= 12/x, z= 20/y"
