SOAL;PILIHAN A;PILIHAN B;PILIHAN C;PILIHAN D;PILIHAN E;KUNCI JAWABAN;;;;;;
After Timmy . . . . his first salary, he bought presents for his parents;receives;has received;received;had received;;d;;;;;;D. kalimat ini menggunakan tenses koordinasi, yaitu after past perfect + past simple
My sister’s husband is known as a . . . . person and we do love him!;middle-aged, funny, tall Italian;tall, middle-aged, Italian, funny;funny, tall, middle-aged, Italian;funny, middle-aged, tall, Italian;;c;;;;;;C. adjective yang tepat ssuai susunan kata sifat adalah funny (opinion) tall (size) middle-aged (age) Italian (originality)
The operating principles of the telephone . . . they were in the nineteenth century.;is today what the same;are today what they are same;is the same today;are the same today as;;d;;;;;;D. digunakan bentuk comparison yang mennunjukkan makna sama atau serupa, yaitu the same as
I talked to the girl ...... car had broken down in front of the shop;Who;Whose;Whom;of which;;b;;;;;;B. Kalimat ini membutuhkan connector, untuk melengkapi adjective clause yang menunjukkan makna kepemilikan
We had already visited Bali before SBMPTN was held, ...... ?;hadn’t we;didn’t we;wasn’t we;wasn’t it;;a;;;;;;A. bentuk tag yang tepat untuk kalimat we had already visited ... adalah hadn’t we
The police were unable to lay charges, ...... insufficient evidence.;though;since;owing to;in case;;c;;;;;;C Kalimat tersebut menunjukan cause/sebab. Konjungsi yang tepat adalah ‘owing to’ (diikuti frasa)
If he spoke better English he would look for a job abroad, .... ?;hasn’t he;won’t he;didn’t he;wouldn’t he;;d;;;;;;D Induk kalimat tersebut berbentuk conditional, dengan penekanan klausa he would look for a job abroad. Jadi tag questionnya wouldn’t he
They agreed that is easier ...... students in high school than to have them spend money to take remedial college courses;prepare;preparing;to prepare;prepared;;c;;;;;;C.Perbandingan ‘than’ yang diikuti to+infinitive, jadi pola yang benar adalah to prepare....than to have
This is .... any other champagne I’ve ever tasted.;different completely with;completely differently with;different completely than;completely different from;;d;;;;;;D. is merupakan linking verb yang diikuti adjective, adjective ditekankan oleh adverb
Barely ..... to watch the film when the light went off.;we had started;were we being starting;had we started;did we started;;c;;;;;;C. Kalimat tersebut merupakan kalimat inversi yang diawali dengan Barely, jadi jawabannya adalah had we started
New mothers and fathers are often ..... their parenting;anxious to;anxious about;anxious with;anxious for;;b;;;;;;B. Bentuk yang benar prepositional adjective adalah anxious about, adjective capable diikuti preposisi about
She was delighted at .... a new employee in the S.T.A.R Lab.;accepting;being accepted;accepted;to be accepted;;b;;;;;;B. Delighted at diikuti gerund, krna berbentuk passive maka being V3
I recall him ..... about maple sugaring on a farm when he was a kid;talk;to talk;talking;being talked;;c;;;;;;C. Kata recall harus diikuti gerund, baik ada objek maupun tidak
..... by the earth quakes, the village was left uninhabited.;Ruined;Having ruining;To ruin;Ruin;;a;;;;;;A Kalimat tersebut mengalami reduksasi klausa yang mengandung konjungsi because/for/since/as
After she had already signed a year’s rent for the house, she .... another that she liked much better;would find;founded;had founded;found;;d;;;;;;D. Pola koordinasi tense dengan konjungsi after bermakna lampau adalah after+past perfect, past simple
A body (B) of volunteers have been (B) organized to aid the helpless (C) in their (D) struggle for survival.;A body ;have been;helpless;their;;b;;;;;;B.have been seharusnya has been karena subyeknya a body
The Library of Congress, with a large number (A) of books in its (B) stacks, attracts (C) students from most every (D) state in the Union.;a large number;its;attracts;most every;;d;;;;;;D.Most every kata moat tidak dapat diikuti denngan every,every saja sudah cukup
Unlike (A) most animals, the turtle (B) lives effortlessly (C) in the water and land (D);Unlike;the turtle;effortlessly;land;;b;;;;;;B.The turtle, pernyataan tersebut menunjukkan pernyataan umum,apabila demikian. seharusnya a turtle
I try(A) to figure in(B) the answer of what(C) the function of organization is(D).;try;figure in;what;is;;b;;;;;;B. Figure in figure out: understanding, solve
A heavy(A) snowstorm began here early this morning(B), making(C) the fields similar with(D) midwinter.;A heavy;early this morning;making;similar with;;d;;;;;;D. Seharusnya similar to
